,object,room,identifiers,cluster_asgns
10,balancing_cactus,bedroom,ann32_asgn4297-ann349_asgn4298-ann350_asgn4299-ann239_asgn4300-ann303_asgn4301-ann356_asgn4302-ann340_asgn4303-ann342_asgn4304-ann123_asgn4305-ann351_asgn4306-,2-1-0-0-2-1-1-0-2-0-
11,balancing_cactus,storage_room,ann349_asgn3737-ann357_asgn3738-ann239_asgn3739-ann356_asgn3740-ann107_asgn3741-ann340_asgn3742-ann341_asgn3743-ann342_asgn3744-ann17_asgn3745-ann351_asgn3746-,2-0-1-2-1-1-0-2-0-0-
12,beard_color_gel,childs_room,ann349_asgn4027-ann357_asgn4028-ann239_asgn4029-ann303_asgn4030-ann340_asgn4031-ann342_asgn4032-ann123_asgn4033-ann343_asgn4034-ann17_asgn4035-ann354_asgn4036-,1-0-2-0-2-1-0-1-0-0-
13,beard_color_gel,storage_room,ann25_asgn4427-ann349_asgn4428-ann365_asgn4429-ann239_asgn4430-ann344_asgn4431-ann16_asgn4432-ann283_asgn4433-ann341_asgn4434-ann305_asgn4435-ann17_asgn4436-,1-2-1-0-2-1-2-0-0-1-
14,beauty_pack,kitchen,ann231_asgn4227-ann350_asgn4228-ann357_asgn4229-ann302_asgn4230-ann344_asgn4231-ann303_asgn4232-ann87_asgn4233-ann51_asgn4234-ann345_asgn4235-ann342_asgn4236-,1-0-2-1-1-2-2-2-2-0-
15,beauty_pack,living_room,ann349_asgn3737-ann357_asgn3738-ann239_asgn3739-ann356_asgn3740-ann107_asgn3741-ann340_asgn3742-ann341_asgn3743-ann342_asgn3744-ann17_asgn3745-ann351_asgn3746-,1-0-0-2-0-0-0-1-2-0-
16,beauty_pack,playroom,ann350_asgn4037-ann239_asgn4038-ann344_asgn4039-ann337_asgn4040-ann280_asgn4041-ann107_asgn4042-ann87_asgn4043-ann123_asgn4044-ann343_asgn4045-ann17_asgn4046-,0-0-1-2-2-2-0-2-1-0-
17,blender_jar,childs_room,ann134_asgn3447-ann32_asgn3448-ann115_asgn3449-ann136_asgn3450-ann207_asgn3451-ann87_asgn3452-ann328_asgn3453-ann140_asgn3454-ann17_asgn3455-ann23_asgn3456-,2-1-0-2-0-0-2-1-1-2-
18,blender_jar,lobby,ann134_asgn3327-ann115_asgn3328-ann201_asgn3329-ann207_asgn3330-ann87_asgn3331-ann51_asgn3332-ann266_asgn3333-ann147_asgn3334-ann17_asgn3335-ann30_asgn3336-,2-2-2-1-2-1-2-0-0-1-
19,book,home_office,ann82_asgn1770-ann115_asgn1771-ann116_asgn1772-ann181_asgn1773-ann207_asgn1774-ann225_asgn1775-ann51_asgn1776-ann23_asgn1777-ann8_asgn1778-ann97_asgn1779-,2-0-1-2-1-0-0-0-0-0-
20,bookend,storage_room,ann25_asgn4387-ann349_asgn4388-ann357_asgn4389-ann344_asgn4390-ann303_asgn4391-ann207_asgn4392-ann107_asgn4393-ann340_asgn4394-ann266_asgn4395-ann234_asgn4396-,2-1-0-1-0-1-2-1-2-2-
21,bundt_pan,garage,ann355_asgn3707-ann347_asgn3708-ann350_asgn3709-ann344_asgn3710-ann340_asgn3711-ann341_asgn3712-ann343_asgn3713-ann147_asgn3714-ann351_asgn3715-ann54_asgn3716-,1-0-2-1-2-1-2-2-2-0-
22,bundt_pan,playroom,ann347_asgn4357-ann349_asgn4358-ann350_asgn4359-ann344_asgn4360-ann136_asgn4361-ann356_asgn4362-ann161_asgn4363-ann340_asgn4364-ann329_asgn4365-ann234_asgn4366-,0-1-0-1-2-1-0-1-2-0-
23,bundt_pan,storage_room,ann82_asgn3727-ann349_asgn3728-ann350_asgn3729-ann344_asgn3730-ann303_asgn3731-ann207_asgn3732-ann283_asgn3733-ann87_asgn3734-ann123_asgn3735-ann354_asgn3736-,1-1-0-1-0-2-1-2-0-0-
24,butter_dish,bathroom,ann349_asgn4207-ann350_asgn4208-ann275_asgn4209-ann303_asgn4210-ann87_asgn4211-ann161_asgn4212-ann316_asgn4213-ann123_asgn4214-ann305_asgn4215-ann353_asgn4216-,1-2-0-0-0-0-0-0-2-1-
25,butter_dish,bedroom,ann346_asgn4407-ann239_asgn4408-ann344_asgn4409-ann207_asgn4410-ann339_asgn4411-ann361_asgn4412-ann340_asgn4413-ann123_asgn4414-ann343_asgn4415-ann305_asgn4416-,2-0-1-1-0-1-1-2-1-0-
26,butter_dish,pantry_room,ann347_asgn4247-ann32_asgn4248-ann349_asgn4249-ann350_asgn4250-ann298_asgn4251-ann361_asgn4252-ann87_asgn4253-ann343_asgn4254-ann140_asgn4255-ann351_asgn4256-,0-0-1-2-0-2-2-1-2-0-
27,cake_mix,playroom,ann115_asgn3017-ann327_asgn3018-ann303_asgn3019-ann298_asgn3020-ann213_asgn3021-ann207_asgn3022-ann51_asgn3023-ann285_asgn3024-ann17_asgn3025-ann8_asgn3026-,0-2-0-0-2-1-2-1-1-0-
28,cake_pan,storage_room,ann32_asgn3537-ann303_asgn3538-ann339_asgn3539-ann161_asgn3540-ann340_asgn3541-ann341_asgn3542-ann342_asgn3543-ann343_asgn3544-ann119_asgn3545-ann17_asgn3546-,1-0-2-2-1-0-0-1-2-1-
29,can_opener,television_room,ann296_asgn2508-ann115_asgn2509-ann218_asgn2510-ann87_asgn2511-ann161_asgn2512-ann285_asgn2513-ann17_asgn2514-ann30_asgn2515-ann9_asgn2516-ann215_asgn2517-,0-2-0-1-2-1-2-1-2-2-
30,candy,corridor,ann231_asgn3357-ann115_asgn3358-ann129_asgn3359-ann298_asgn3360-ann207_asgn3361-ann308_asgn3362-ann51_asgn3363-ann123_asgn3364-ann8_asgn3365-ann31_asgn3366-,1-2-0-0-0-1-0-0-2-0-
31,candy_bar,pantry_room,ann25_asgn1991-ann218_asgn1992-ann135_asgn1993-ann261_asgn1994-ann269_asgn1995-ann220_asgn1996-ann51_asgn1997-ann259_asgn1998-ann17_asgn1999-ann345_asgn4567-,0-0-0-0-1-2-0-0-2-1-
32,candy_bar,playroom,ann218_asgn2183-ann135_asgn2184-ann261_asgn2185-ann213_asgn2186-ann161_asgn2187-ann259_asgn2188-ann17_asgn2189-ann23_asgn2190-ann9_asgn2191-ann254_asgn2192-,0-0-1-0-1-0-2-0-0-2-
33,candy_bar,utility_room,ann117_asgn2038-ann218_asgn2039-ann257_asgn2040-ann220_asgn2041-ann161_asgn2042-ann51_asgn2043-ann259_asgn2044-ann17_asgn2045-ann30_asgn2046-ann215_asgn2047-,0-0-0-0-0-2-2-1-1-0-
34,canister,dining_room,ann162_asgn490-ann135_asgn491-ann136_asgn492-ann107_asgn493-ann88_asgn494-ann17_asgn495-ann80_asgn496-ann30_asgn497-ann9_asgn498-ann110_asgn499-,0-0-2-0-2-2-2-1-2-1-
35,card_game,closet,ann82_asgn2538-ann115_asgn2539-ann298_asgn2540-ann213_asgn2541-ann207_asgn2542-ann161_asgn2543-ann266_asgn2544-ann63_asgn2545-ann17_asgn2546-ann30_asgn2547-,2-0-1-2-1-1-2-2-0-1-
36,cereal,storage_room,ann82_asgn3727-ann349_asgn3728-ann350_asgn3729-ann344_asgn3730-ann303_asgn3731-ann207_asgn3732-ann283_asgn3733-ann87_asgn3734-ann123_asgn3735-ann354_asgn3736-,1-1-0-1-2-0-1-0-2-2-
37,chain,playroom,ann83_asgn470-ann35_asgn471-ann67_asgn472-ann4_asgn473-ann28_asgn474-ann108_asgn475-ann18_asgn476-ann80_asgn477-ann30_asgn478-ann110_asgn479-,2-2-2-1-0-0-2-0-1-2-
38,chocolate,corridor,ann32_asgn3767-ann350_asgn3768-ann344_asgn3769-ann280_asgn3770-ann221_asgn3771-ann341_asgn3772-ann123_asgn3773-ann343_asgn3774-ann17_asgn3775-ann351_asgn3776-,2-0-1-1-1-1-2-1-1-0-
39,chocolate_box,corridor,ann231_asgn2608-ann25_asgn2609-ann115_asgn2610-ann298_asgn2611-ann207_asgn2612-ann87_asgn2613-ann161_asgn2614-ann94_asgn2615-ann123_asgn2616-ann30_asgn2617-,1-2-2-2-0-2-0-2-2-1-
40,chocolate_milk_pods,bathroom,ann357_asgn4177-ann344_asgn4178-ann303_asgn4179-ann288_asgn4180-ann207_asgn4181-ann107_asgn4182-ann87_asgn4183-ann340_asgn4184-ann17_asgn4185-ann354_asgn4186-,2-1-2-0-1-0-0-1-1-1-
41,chocolate_milk_pods,utility_room,ann352_asgn4347-ann349_asgn4348-ann344_asgn4349-ann303_asgn4350-ann16_asgn4351-ann161_asgn4352-ann345_asgn4353-ann316_asgn4354-ann123_asgn4355-ann17_asgn4356-,1-1-1-0-2-0-0-0-2-1-
42,chocolate_powder,television_room,ann347_asgn4517-ann303_asgn4518-ann298_asgn4519-ann207_asgn4520-ann339_asgn4521-ann340_asgn4522-ann316_asgn4523-ann353_asgn4524-ann351_asgn4525-ann54_asgn4526-,0-0-2-2-0-1-0-1-0-0-
43,chopping_board,corridor,ann134_asgn460-ann112_asgn461-ann11_asgn462-ann159_asgn463-ann51_asgn464-ann160_asgn465-ann17_asgn466-ann18_asgn467-ann8_asgn468-ann39_asgn469-,2-1-0-2-0-2-1-1-0-2-
44,clamp,dining_room,ann115_asgn1540-ann116_asgn1541-ann244_asgn1542-ann207_asgn1543-ann220_asgn1544-ann16_asgn1545-ann123_asgn1546-ann8_asgn1547-ann97_asgn1548-ann31_asgn1549-,0-1-2-1-0-2-2-2-2-2-
45,clay,corridor,ann25_asgn3007-ann32_asgn3008-ann115_asgn3009-ann298_asgn3010-ann207_asgn3011-ann225_asgn3012-ann51_asgn3013-ann123_asgn3014-ann17_asgn3015-ann30_asgn3016-,2-2-0-0-2-2-2-2-1-1-
46,clay,living_room,ann115_asgn2578-ann302_asgn2579-ann292_asgn2580-ann303_asgn2581-ann298_asgn2582-ann213_asgn2583-ann207_asgn2584-ann140_asgn2585-ann30_asgn2586-ann8_asgn2587-,0-2-2-2-0-2-2-1-1-2-
47,clay,lobby,ann115_asgn3467-ann129_asgn3468-ann298_asgn3469-ann213_asgn3470-ann207_asgn3471-ann161_asgn3472-ann51_asgn3473-ann123_asgn3474-ann314_asgn3475-ann23_asgn3476-,0-0-0-0-1-2-1-0-2-0-
48,clay,storage_room,ann115_asgn3457-ann302_asgn3458-ann303_asgn3459-ann337_asgn3460-ann298_asgn3461-ann207_asgn3462-ann88_asgn3463-ann147_asgn3464-ann17_asgn3465-ann8_asgn3466-,0-0-0-0-2-1-0-0-1-2-
49,clock,garage,ann115_asgn1070-ann116_asgn1071-ann41_asgn1072-ann129_asgn1073-ann207_asgn1074-ann16_asgn1075-ann94_asgn1076-ann8_asgn1077-ann215_asgn1078-ann97_asgn1079-,1-1-2-0-1-0-0-2-2-2-
50,cloth,lobby,ann231_asgn1410-ann209_asgn1411-ann115_asgn1412-ann84_asgn1413-ann41_asgn1414-ann213_asgn1415-ann207_asgn1416-ann27_asgn1417-ann107_asgn1418-ann8_asgn1419-,2-1-0-0-2-2-1-0-2-0-
51,coffee_beans,bathroom,ann231_asgn2888-ann115_asgn2889-ann213_asgn2890-ann207_asgn2891-ann87_asgn2892-ann51_asgn2893-ann285_asgn2894-ann123_asgn2895-ann8_asgn2896-ann31_asgn2897-,1-2-0-1-0-1-2-0-0-0-
52,coffee_beans,home_office,ann231_asgn2738-ann115_asgn2739-ann298_asgn2740-ann207_asgn2741-ann161_asgn2742-ann51_asgn2743-ann123_asgn2744-ann266_asgn2745-ann140_asgn2746-ann17_asgn2747-,1-2-0-2-0-0-0-0-1-1-
53,coffee_beans,pantry_room,ann115_asgn3267-ann303_asgn3268-ann298_asgn3269-ann207_asgn3270-ann87_asgn3271-ann285_asgn3272-ann123_asgn3273-ann266_asgn3274-ann17_asgn3275-ann8_asgn3276-,1-0-1-0-2-2-2-2-2-0-
54,coffee_pods,dining_room,ann82_asgn1982-ann32_asgn1983-ann274_asgn1984-ann261_asgn1985-ann257_asgn1986-ann51_asgn1987-ann140_asgn1988-ann17_asgn1989-ann23_asgn1990-ann341_asgn4566-,2-2-0-2-0-2-1-1-2-2-
55,coffee_pods,garage,ann218_asgn2231-ann227_asgn2232-ann135_asgn2233-ann257_asgn2234-ann213_asgn2235-ann161_asgn2236-ann259_asgn2237-ann17_asgn2238-ann215_asgn2239-ann345_asgn4577-,2-1-1-2-1-2-1-0-2-0-
56,coffeemaker,kitchen,ann117_asgn2413-ann218_asgn2414-ann1_asgn2415-ann227_asgn2416-ann257_asgn2417-ann269_asgn2418-ann220_asgn2419-ann51_asgn2420-ann17_asgn2421-ann9_asgn2422-,0-2-0-0-0-2-1-0-1-0-
57,colored_wood_blocks,dining_room,ann209_asgn1430-ann115_asgn1431-ann214_asgn1432-ann181_asgn1433-ann129_asgn1434-ann213_asgn1435-ann207_asgn1436-ann220_asgn1437-ann107_asgn1438-ann8_asgn1439-,2-2-2-0-1-2-1-0-2-2-
58,colored_wood_blocks,kitchen,ann82_asgn1770-ann115_asgn1771-ann116_asgn1772-ann181_asgn1773-ann207_asgn1774-ann225_asgn1775-ann51_asgn1776-ann23_asgn1777-ann8_asgn1778-ann97_asgn1779-,0-2-1-0-1-0-0-0-0-2-
59,condiment,lobby,ann231_asgn2918-ann32_asgn2919-ann115_asgn2920-ann302_asgn2921-ann303_asgn2922-ann298_asgn2923-ann213_asgn2924-ann207_asgn2925-ann17_asgn2926-ann8_asgn2927-,1-2-2-1-2-1-2-0-0-2-
60,cracker_box,childs_room,ann162_asgn490-ann135_asgn491-ann136_asgn492-ann107_asgn493-ann88_asgn494-ann17_asgn495-ann80_asgn496-ann30_asgn497-ann9_asgn498-ann110_asgn499-,2-1-1-2-2-0-0-1-1-2-
61,cracker_box,lobby,ann170_asgn570-ann41_asgn571-ann11_asgn572-ann107_asgn573-ann51_asgn574-ann109_asgn575-ann17_asgn576-ann80_asgn577-ann23_asgn578-ann30_asgn579-,0-2-2-2-2-1-0-0-2-1-
62,crayon,closet,ann264_asgn2193-ann115_asgn2194-ann218_asgn2195-ann227_asgn2196-ann261_asgn2197-ann257_asgn2198-ann269_asgn2199-ann17_asgn2200-ann215_asgn2201-ann9_asgn4575-,1-2-1-0-1-0-2-2-2-0-
63,crayon,pantry_room,ann115_asgn2240-ann218_asgn2241-ann261_asgn2242-ann257_asgn2243-ann51_asgn2244-ann140_asgn2245-ann17_asgn2246-ann30_asgn2247-ann215_asgn2248-ann17_asgn4578-,2-0-1-1-1-1-1-2-0-2-
64,cube_storage_box,bathroom,ann209_asgn1810-ann115_asgn1811-ann211_asgn1812-ann129_asgn1813-ann233_asgn1814-ann213_asgn1815-ann207_asgn1816-ann30_asgn1817-ann8_asgn1818-ann215_asgn1819-,0-2-1-0-0-0-1-0-0-2-
65,cube_storage_box,bedroom,ann115_asgn1070-ann116_asgn1071-ann41_asgn1072-ann129_asgn1073-ann207_asgn1074-ann16_asgn1075-ann94_asgn1076-ann8_asgn1077-ann215_asgn1078-ann97_asgn1079-,2-1-0-0-1-0-0-0-2-0-
66,cup,television_room,ann129_asgn880-ann195_asgn881-ann67_asgn882-ann114_asgn883-ann196_asgn884-ann88_asgn885-ann51_asgn886-ann17_asgn887-ann80_asgn888-ann120_asgn889-,0-0-2-0-2-0-2-1-0-1-
67,desk_caddy,dining_room,ann32_asgn3837-ann349_asgn3838-ann239_asgn3839-ann344_asgn3840-ann339_asgn3841-ann107_asgn3842-ann283_asgn3843-ann340_asgn3844-ann266_asgn3845-ann140_asgn3846-,0-1-2-1-2-0-1-0-0-1-
68,desk_caddy,living_room,ann303_asgn4437-ann337_asgn4438-ann359_asgn4439-ann330_asgn4440-ann87_asgn4441-ann342_asgn4442-ann343_asgn4443-ann17_asgn4444-ann353_asgn4445-ann54_asgn4446-,0-0-0-2-0-2-1-0-1-0-
69,desk_caddy,lobby,ann231_asgn4537-ann349_asgn4538-ann350_asgn4539-ann344_asgn4540-ann298_asgn4541-ann87_asgn4542-ann340_asgn4543-ann341_asgn4544-ann140_asgn4545-ann17_asgn4546-,2-1-2-1-0-0-1-0-1-0-
70,desk_caddy,storage_room,ann355_asgn3627-ann347_asgn3628-ann349_asgn3629-ann239_asgn3630-ann344_asgn3631-ann161_asgn3632-ann340_asgn3633-ann343_asgn3634-ann147_asgn3635-ann354_asgn3636-,0-0-1-0-1-0-2-1-2-0-
71,desk_caddy,utility_room,ann25_asgn4427-ann349_asgn4428-ann365_asgn4429-ann239_asgn4430-ann344_asgn4431-ann16_asgn4432-ann283_asgn4433-ann341_asgn4434-ann305_asgn4435-ann17_asgn4436-,2-1-1-0-1-2-1-2-0-0-
72,dietary_supplement,corridor,ann117_asgn2413-ann218_asgn2414-ann1_asgn2415-ann227_asgn2416-ann257_asgn2417-ann269_asgn2418-ann220_asgn2419-ann51_asgn2420-ann17_asgn2421-ann9_asgn2422-,0-0-0-1-0-2-1-0-2-0-
73,dishtowel,dining_room,ann264_asgn2193-ann115_asgn2194-ann218_asgn2195-ann227_asgn2196-ann261_asgn2197-ann257_asgn2198-ann269_asgn2199-ann17_asgn2200-ann215_asgn2201-ann9_asgn4575-,0-2-0-0-1-1-0-2-0-0-
74,dishtowel,playroom,ann218_asgn2304-ann135_asgn2305-ann213_asgn2306-ann220_asgn2307-ann36_asgn2308-ann161_asgn2309-ann51_asgn2310-ann17_asgn2311-ann23_asgn2312-ann254_asgn2313-,2-0-0-0-1-2-0-1-0-1-
75,dog_bowl,lobby,ann82_asgn3387-ann335_asgn3388-ann25_asgn3389-ann115_asgn3390-ann303_asgn3391-ann298_asgn3392-ann207_asgn3393-ann51_asgn3394-ann30_asgn3395-ann8_asgn3396-,2-0-2-2-2-0-1-2-1-2-
76,dog_bowl,playroom,ann134_asgn3367-ann115_asgn3368-ann298_asgn3369-ann213_asgn3370-ann207_asgn3371-ann225_asgn3372-ann161_asgn3373-ann285_asgn3374-ann123_asgn3375-ann30_asgn3376-,2-0-0-2-1-2-0-1-2-1-
77,dog_bowl,television_room,ann115_asgn2908-ann1_asgn2909-ann213_asgn2910-ann207_asgn2911-ann87_asgn2912-ann51_asgn2913-ann123_asgn2914-ann266_asgn2915-ann147_asgn2916-ann17_asgn2917-,2-1-0-1-0-1-0-0-0-2-
78,dog_chew_toy,television_room,ann10_asgn2828-ann32_asgn2829-ann115_asgn2830-ann136_asgn2831-ann298_asgn2832-ann207_asgn2833-ann87_asgn2834-ann266_asgn2835-ann147_asgn2836-ann30_asgn2837-,2-2-2-0-2-1-1-2-0-2-
79,dollhouse_toy,playroom,ann231_asgn3897-ann349_asgn3898-ann239_asgn3899-ann344_asgn3900-ann207_asgn3901-ann339_asgn3902-ann161_asgn3903-ann341_asgn3904-ann316_asgn3905-ann305_asgn3906-,2-1-0-1-0-0-0-2-0-0-
80,donut,lobby,ann134_asgn520-ann165_asgn521-ann144_asgn522-ann83_asgn523-ann166_asgn524-ann11_asgn525-ann106_asgn526-ann108_asgn527-ann9_asgn528-ann120_asgn529-,1-0-2-0-2-2-2-2-2-1-
81,donut,playroom,ann127_asgn440-ann134_asgn441-ann157_asgn442-ann11_asgn443-ann108_asgn444-ann50_asgn445-ann158_asgn446-ann17_asgn447-ann80_asgn448-ann8_asgn449-,2-2-1-0-0-0-1-0-0-0-
82,dustpan_and_brush,playroom,ann117_asgn2000-ann115_asgn2001-ann275_asgn2002-ann261_asgn2003-ann22_asgn2004-ann257_asgn2005-ann140_asgn2006-ann17_asgn2007-ann9_asgn2008-ann64_asgn4568-,2-0-1-2-2-2-1-0-2-2-
83,dustpan_and_brush,television_room,ann218_asgn2452-ann227_asgn2453-ann213_asgn2454-ann269_asgn2455-ann161_asgn2456-ann294_asgn2457-ann51_asgn2458-ann123_asgn2459-ann17_asgn2460-ann215_asgn2461-,2-1-0-0-2-0-0-0-1-0-
84,easter_basket,storage_room,ann115_asgn2708-ann226_asgn2709-ann213_asgn2710-ann311_asgn2711-ann207_asgn2712-ann87_asgn2713-ann312_asgn2714-ann147_asgn2715-ann8_asgn2716-ann306_asgn2717-,0-0-0-2-0-1-0-1-2-0-
85,electric_heater,home_office,ann70_asgn270-ann134_asgn271-ann135_asgn272-ann113_asgn273-ann136_asgn274-ann137_asgn275-ann123_asgn276-ann80_asgn277-ann30_asgn278-ann8_asgn279-,0-1-0-2-0-0-0-2-0-1-
86,electric_heater,lobby,ann115_asgn940-ann144_asgn941-ann11_asgn942-ann203_asgn943-ann204_asgn944-ann114_asgn945-ann108_asgn946-ann17_asgn947-ann110_asgn948-ann120_asgn949-,0-2-2-0-2-1-0-1-0-2-
87,electric_toothbrush,childs_room,ann222_asgn2768-ann115_asgn2769-ann213_asgn2770-ann207_asgn2771-ann123_asgn2772-ann266_asgn2773-ann147_asgn2774-ann17_asgn2775-ann30_asgn2776-ann8_asgn2777-,1-0-2-1-2-2-2-1-1-0-
88,electric_toothbrush,kitchen,ann134_asgn3367-ann115_asgn3368-ann298_asgn3369-ann213_asgn3370-ann207_asgn3371-ann225_asgn3372-ann161_asgn3373-ann285_asgn3374-ann123_asgn3375-ann30_asgn3376-,0-0-2-0-0-0-2-1-0-1-
89,face_moisturizer,corridor,ann117_asgn2286-ann115_asgn2287-ann218_asgn2288-ann257_asgn2289-ann51_asgn2290-ann285_asgn2291-ann259_asgn2292-ann140_asgn2293-ann17_asgn2294-ann369_asgn4582-,0-0-0-0-2-1-1-1-0-2-
90,face_moisturizer,television_room,ann82_asgn1899-ann265_asgn1900-ann218_asgn1901-ann261_asgn1902-ann257_asgn1903-ann266_asgn1904-ann140_asgn1905-ann17_asgn1906-ann215_asgn1907-ann346_asgn4559-,0-0-0-2-2-0-1-1-0-0-
91,face_moisturizer,utility_room,ann115_asgn2353-ann218_asgn2354-ann290_asgn2355-ann227_asgn2356-ann269_asgn2357-ann161_asgn2358-ann51_asgn2359-ann259_asgn2360-ann17_asgn2361-ann254_asgn2362-,2-0-0-1-2-0-0-0-1-0-
92,file_sorter,bathroom,ann231_asgn3677-ann349_asgn3678-ann350_asgn3679-ann346_asgn3680-ann344_asgn3681-ann87_asgn3682-ann345_asgn3683-ann342_asgn3684-ann343_asgn3685-ann351_asgn3686-,1-1-2-0-1-0-0-1-1-2-
93,file_sorter,bedroom,ann25_asgn4397-ann346_asgn4398-ann344_asgn4399-ann303_asgn4400-ann297_asgn4401-ann339_asgn4402-ann107_asgn4403-ann161_asgn4404-ann343_asgn4405-ann140_asgn4406-,0-2-1-2-0-0-0-0-1-0-
94,file_sorter,home_office,ann357_asgn4177-ann344_asgn4178-ann303_asgn4179-ann288_asgn4180-ann207_asgn4181-ann107_asgn4182-ann87_asgn4183-ann340_asgn4184-ann17_asgn4185-ann354_asgn4186-,2-1-2-0-0-0-0-1-0-1-
95,file_sorter,storage_room,ann346_asgn4407-ann239_asgn4408-ann344_asgn4409-ann207_asgn4410-ann339_asgn4411-ann361_asgn4412-ann340_asgn4413-ann123_asgn4414-ann343_asgn4415-ann305_asgn4416-,2-1-1-0-0-0-1-2-1-0-
96,fingerpaint,utility_room,ann349_asgn3737-ann357_asgn3738-ann239_asgn3739-ann356_asgn3740-ann107_asgn3741-ann340_asgn3742-ann341_asgn3743-ann342_asgn3744-ann17_asgn3745-ann351_asgn3746-,1-2-0-1-2-2-2-1-2-0-
97,fitness_tracker_wristband,pantry_room,ann115_asgn3157-ann303_asgn3158-ann298_asgn3159-ann207_asgn3160-ann266_asgn3161-ann234_asgn3162-ann147_asgn3163-ann140_asgn3164-ann17_asgn3165-ann8_asgn3166-,0-2-2-1-0-1-0-1-0-0-
98,flat_screwdriver,corridor,ann117_asgn950-ann134_asgn951-ann115_asgn952-ann137_asgn953-ann205_asgn954-ann17_asgn955-ann80_asgn956-ann9_asgn957-ann31_asgn958-ann110_asgn959-,2-2-0-1-2-1-0-2-2-2-
99,flat_screwdriver,kitchen,ann141_asgn290-ann142_asgn291-ann132_asgn292-ann143_asgn293-ann114_asgn294-ann126_asgn295-ann109_asgn296-ann18_asgn297-ann80_asgn298-ann8_asgn299-,1-2-2-2-1-0-1-2-0-2-
100,foam_brick,dining_room,ann111_asgn180-ann112_asgn181-ann11_asgn182-ann113_asgn183-ann67_asgn184-ann107_asgn185-ann114_asgn186-ann80_asgn187-ann30_asgn188-ann31_asgn189-,0-1-0-0-0-0-2-0-1-2-
101,fondant,corridor,ann82_asgn2928-ann115_asgn2929-ann288_asgn2930-ann213_asgn2931-ann51_asgn2932-ann285_asgn2933-ann17_asgn2934-ann23_asgn2935-ann30_asgn2936-ann8_asgn2937-,2-0-2-2-0-1-1-2-1-2-
102,fondant,dining_room,ann231_asgn2808-ann115_asgn2809-ann129_asgn2810-ann318_asgn2811-ann207_asgn2812-ann283_asgn2813-ann51_asgn2814-ann285_asgn2815-ann30_asgn2816-ann8_asgn2817-,0-2-2-0-1-1-1-1-1-0-
103,fondant,home_office,ann115_asgn2748-ann207_asgn2749-ann87_asgn2750-ann313_asgn2751-ann285_asgn2752-ann123_asgn2753-ann266_asgn2754-ann314_asgn2755-ann17_asgn2756-ann8_asgn2757-,0-2-2-1-1-0-0-0-1-0-
